employee_id,nama,tanggal_bergabung,tanggal_isi_survei,jenis_kelamin,usia,pendidikan_terakhir,status_pernikahan,jumlah_tanggungan,departemen,jabatan,lama_bekerja_tahun,tipe_perusahaan,ukuran_perusahaan,rentang_gaji,status_wfh,jenis_shift,jam_kerja_per_hari,jam_lembur_per_hari,hari_kerja_per_minggu,frekuensi_meeting_per_hari,beban_kerja_persepsi,jumlah_deadline_per_minggu,jam_tidur_per_hari,kualitas_tidur,waktu_tidur_malam,jam_istirahat_siang,frekuensi_olahraga_per_minggu,durasi_olahraga_menit,jam_layar_per_hari,konsumsi_kafein_per_hari,status_merokok,pola_makan,tingkat_stres,tingkat_kecemasan,tingkat_depresi,motivasi_kerja,kepuasan_kerja,work_life_balance,produktivitas_diri,kemampuan_konsentrasi,dukungan_sosial_rekan,dukungan_atasan,keluhan_fisik_utama,riwayat_kesehatan_mental,akses_layanan_kesehatan_mental,frekuensi_konflik_kerja,keamanan_pekerjaan,kebijakan_mh_perusahaan,status_kesehatan_mental,deskripsi_keluhan,tingkat_burnout
1388,Rahman Samosir,18/10/2023,26-05-2022,Perempuan,39.93,S1,Menikah,1,HR,Marketing Manager,2.8,BUMN,Besar,12-20 juta,Tidak,Rotasi,8.57,0.02,6.83,3,Heavy,1,3.78,6.53,22:00-23:00,0.88,0.27,65.04,6.15,1,Tidak,Baik,9.84,6.37,,2.68,21.07,1,7.78,7.21,5.15,6.41,Tidak,Tidak Ada,Belum Pernah,4.99,tidak aman,Tidak Ada,Cukup Baik,sering merasa lelah,0.78
E16046,Pandu Saragih,7/21/2022,28/09/2021,Laki-laki,34.53,SMA/SMK,Cerai,0,Design,HR Specialist,-,Badan Usaha Milik Negara,< 10 orang,dibawah UMR,Tidak,Malam,10.21,2.2,,5,Ringan,3,4.63,,22:00-23:00,,,38.77,7.5,2,tidak,Baik,8.99,5.17,3.88,4.48,3.46,3.72,8.31,7.9,6.48,4.5,Mata Lelah,Anxiety,Sudah Pernah,1,Aman,Ada dan Efektif,Baik,Sering Merasa Lelah,0.35
emp-19100,"dr. Winda Purnawati, S.IP",5/3/2024,28-Jun-21,pr,28.7,S-2,Menikah,3,Sales,,0.43,BUMN,201-500 orang,12-20 juta,Ya,Fleksibel,10.53,0.82,5.21,5,Sedang,3,8.6,6.59,22:00-23:00,1.06,2.05,36.45,81.37,2,Tidak,Baik,unknown,6.01,3.76,6.1,unknown,,4.57,1.93,7.07,8.1,Mata Lelah,Tidak Ada,Online Konseling,3.56,Aman,Ada dan Efektif,Baik,kurang tidur terus,0.64
emp-2873,Icha Mandala,,11-Jul-22,P,18,s2,Menikah,3,Customer Service,Sales Manager,0.49,Corporate,501-1000 orang,> 30 juta,kadang,Fleksibel,8.66,3.98,,4,berat,,-,8.45,21:00-22:00,0.97,0.24,34.91,7.94,,Tidak,Cukup,8.63,9.78,1.88,6.22,8.16,2.53,4.21,37.99,6.08,6.66,,Tidak Ada,Ya,26.64,Aman,Tidak Ada,Buruk,stress bgt tp masih oke,4.22
ID10802,Usyi Safitri,9-May-20,12-Jul-21,Perempuan,22.76,S2,Menikah,3,Finance,Senior Software Engineer,3.07,PMA,501-1000 orang,< 3 juta,no,Pagi,7.79,0.72,5.58,6,Ringan,18.05,5.14,3.71,00:00-01:00,0.85,3.24,61.44,8.6,1,Tidak,Buruk,3.55,6.93,4.39,5.36,3.82,3.44,6.85,6.94,,5.15,cape banget,Tidak Ada,Tidak,1,Sangat Tidak Aman,Ada,OK,Sering Merasa Lelah,
kry_831,Septi Yulianti,10/6/2022,6/2/2020,Wanita,19.59,sma,Menikah,2,IT,Finance Manager,-,Corporate,< 10 orang,5-8jt,Ya,Malam,10.36,,5.6,2,Berat,2,6.49,29.71,22:00-23:00,1.34,0.48,,13.38,2,Tidak,Tidak Teratur,5.97,8.54,5.58,5.01,8.32,5.75,8.44,9.61,10,6.47,Tidak Ada,Depresi,Tidak,,Cukup Aman,tidak tahu,Buruk,,0.72
KRY02409,"Kayla Maheswara, M.Farm",,10/3/2018,Perempuan,34.68,S1,Menikah,3,Sales,Software Engineer,0.45,Corporate,> 1000 orang,tidak mau menyebutkan,Tidak,Pagi,8.64,0.18,3.55,8,Ringan,2,6.03,3.89,tidak tentu,0.83,0.07,33.8,7.74,,Tidak,Teratur,4.48,9.65,6.63,,1.53,5.7,12.71,6.98,4.82,5.12,,Pernah Depresi,Pernah,5.84,Khawatir,Kurang Tahu,Baik,tidak semangat kerja,0.49
EMP26982,Jamal Utami,0000-00-00,8/4/2021,,,S1,Belum Menikah,3,Operations,Akuntan,n/a,BUMN,201-500 orang,8-12 juta,Kadang,Siang,13.78,1.84,6.53,4,Sangat Ringan,4,4.81,5.63,01:00-02:00,0.37,0.73,23.4,7.55,,Tidak,Teratur,8.74,,6.05,4.28,?,3.16,5.04,7.25,6.73,1.12,Tidak Ada,Tidak Ada,,6.23,tidak tahu,Tidak Ada,Buruk,burnout parah,0.38
5213,Uchita Megantara,25-Apr-22,12/24/2021,laki-laki,,S2,Menikah,0,Finance,Operations Staff,6.38,Swasta,51-200 orang,8-12 juta,YES,-,60.16,3.27,3.44,2,Tinggi,3,4.74,,22:00-23:00,1.69,,21.71,7.73,1,Merokok,teratur,4.62,7.07,4.05,1.92,5.56,4.25,2.77,4.99,6.12,6.94,Jantung Berdebar,Tidak Ada,Ya,6.36,Tidak Aman,Tidak Ada,Good,mood swing,0.79
22320,dr. Danang Wijaya,12/2/2022,12/22/2019,male,30.08,S1,Belum Menikah,5,marketing,Frontend Developer,0.77,Startup,> 1000 orang,5-8 juta,Tidak,08:00-17:00,10.01,1.01,4.72,1,Ringan,2,5.85,2.03,23:00-00:00,tidak tahu,2.62,,11.42,2,Tidak,tidak teratur,5.46,4.91,6.12,1.85,5.47,4.5,4.3,9.6,9.83,7.06,Tidak Ada,Kecemasan,Ya,5.41,tidak aman,Ya,Cukup,  ,
ID17382,Kania Pudjiastuti,10/30/2022,14-Jul-23,P,29.57,S-1,Belum Menikah,,Sales,HR Manager,2.83,Swasta,> 1000 orang,3-5 juta,YES,08:00-17:00,11.78,0.41,4.93,n/a,Sangat Berat,2,5.89,35.97,01:00-02:00,0.74,0.82,38.92,6.14,6,Tidak,Baik,9.17,9.49,5.53,5.51,3.18,6.14,9.06,,tidak tahu,3.83,tidak ada,Tidak Ada,Sudah Pernah,7.45,Netral,Tidak Ada,Cukup Baik,-,0.48
KRY20328,Nadia Pertiwi,tidak ingat,10/13/2022,laki-laki,39.05,tidak tahu,Cerai,1,Research,Finance Analyst,0.63,Freelance,51-200,20-30 juta,Ya,Pagi,11.14,2.87,6.66,4,Sedang,3,,9.44,23:00-00:00,N/A,5.88,33.28,6.47,3,No,Jarang Makan,4.63,7.17,5.78,4.83,5.17,1,8.12,3.6,10,3.98,Pusing,Depresi,Tidak,5.02,Sangat Aman,Ada tapi Jarang Dipakai,Cukup Baik,,0.74
E1413,"dr. Cecep Nugroho, S.E.I",,8/14/2023,Perempuan,32.19,D3,Menikah,1,hr,Operations Staff,4.37,WFH,> 1000 orang,8-12 juta,Hybrid,Fleksibel,10.94,0.17,5.32,2,sedang,4,3.59,5.94,22:00-23:00,1.76,1.89,,6.93,1,Sosial,Cukup,7.83,4.82,-,7.18,6.27,4.29,7.42,4.85,65.09,6.89,Jantung Berdebar,Tidak,Tidak,2.52,Sangat Aman,Ada,Cukup Baik,,0.8
emp-20424,Nadine Novitasari,tidak ingat,16-03-2025,male,35.48,SMA/SMK,Menikah,,Legal,Business Development,11.43,Startup,51-200 orang,5-8 juta,kadang,Siang,10.23,1.22,4.96,2,ringan,unknown,7.46,7.08,tidak tentu,0.48,1.72,14.71,11.21,7.2,Tidak,Cukup,3.9,6.95,,4.98,36.53,4.93,4.68,1,10,,Mata Lelah,Tidak Tahu,Belum Pernah,3.61,Sangat Aman,Tidak Tahu,Baik,susah fokus kerja,
ID24202,"Balapati Palastri, S.Gz",8/8/2023,4/2/2020,Perempuan,130.2,S1,Belum Menikah,,Procurement,Staff,2.06,Korporat,<10,5-8 juta,Tidak,Siang,9.24,1.15,3.96,2,Sangat Ringan,1,6.77,,Tidak Tentu,0.8,,39.04,7.36,1,Tidak,Baik,7.88,7.98,6.88,6.56,,2.81,1.7,7.59,1.78,3.96,Tidak Ada,,Tidak,7.31,Tidak Aman,Ada,Tidak Baik,-,0.84
23327,Bahuraksa Zulaika,15-Sep-20,8/26/2018,Laki-laki,37.75,S1,Belum Menikah,1,Sales,HR Specialist,2.93,Akademik,10-50 orang,N/A,Ya,Fleksibel,8.63,,4.97,1,Medium,3,5.59,3.95,22:00-23:00,0.35,3.41,27.75,6.03,7,Tidak,Cukup,6.62,5.99,3.54,4.36,7.02,6.37,6.54,3.78,7.21,6.62,Tidak Ada,anxiety,Ya,7.13,Cukup Aman,Tidak Ada,Cukup Baik,,0.75
KRY12812,"Puti Nadine Sinaga, S.Kom",11/8/2023,10-Oct-21,L,19.26,,Belum Menikah,1,Data,Operations Staff,unknown,Startup,> 1000 orang,3jt-5jt,Ya,Fleksibel,8.51,0.66,4.97,,Sangat Berat,5,6.22,4.83,21:00-22:00,0.78,1.24,unknown,9.25,2,Ya,Buruk,7,5.99,3.81,,4.21,4.97,4.44,2.15,5.64,6.8,Sakit Kepala,Tidak,Ya,5.64,Sangat Aman,Tidak Ada,Buruk,kurang tidur terus,0.73
3731,Dodo Hasanah,Feb-25,25-Jun-19,Perempuan,35.01,S1,Duda/Janda,2,HR,Staff,0.1,BUMN,10-50 orang,12-20jt,Tidak,Pagi,10.16,1.53,6.27,4,Sedang,3,3.81,6.45,tidak ingat,0.45,0.78,23.85,12.4,0,Tidak,Baik,8.56,9.01,,5.27,8.85,5.76,7.39,5.16,unknown,4.85,Insomnia,Tidak Ada,Belum Pernah,8.02,Cukup Aman,Tidak Ada,Baik,tidak ada work life balance,0.95
E10777,"Wadi Winarno, M.Ak",tidak ingat,27/07/2019,Laki,33.08,d3,Single,1,IT,HR Specialist,13.53,Startup,< 10 orang,5-8 juta,Ya,pagi,4.85,0.35,5.54,3,Sedang,6,6.03,3.89,,1,1.06,20.59,9.13,4,Tidak,Cukup,46.69,6.94,4.22,10,3.61,5.63,4.07,,8.68,8.06,Mual,anxiety,Online Konseling,10,Tidak Aman,Ya,OK,sering merasa lelah,0.66
KRY07923,Dt. Wage Hastuti,tidak ingat,18-08-2023,P,29.33,S-1,Belum Menikah,1,Product,Supervisor,1.45,startup,,5-8 juta,Tidak,Fleksibel,8.22,0.5,4.66,2,Sedang,2,5.74,1.67,tidak tentu,0.83,0.48,,8.23,2,Tidak,Tidak Teratur,8.1,6.07,1,,4.58,2.88,5.84,7.53,8.35,6.91,Sakit Punggung,Pernah Depresi,Sudah Pernah,1.56,Cukup Aman,tidak ada,Baik,tidak ada work life balance,0.59
emp-1738,Drs. Olivia Suartini,26/06/2020,4/7/2022,Perempuan,21.53,sma,Menikah,0,Operations,Software Engineer,4.31,BUMN,tidak tahu,8-12 juta,kadang,Pagi,11.95,0.13,5.05,5,,11.25,7.41,5.2,bervariasi,0,,,,0,Tidak,Sangat Buruk,6.39,67.52,2.06,6.6,3.77,4.14,2.6,8.05,6.51,5.33,Insomnia,Depresi,,4.04,Tidak Aman,Ada,Buruk,,0.1
11195,"Aisyah Padmasari, S.Gz",10/1/2025,28-Oct-22,N/A,24.93,SMA/SMK,Single,2,Product,Senior Software Engineer,4.25,Corporate,201-500 orang,8-12 juta,Hybrid,Fleksibel,9.81,,5.63,4,Sedang,3,4.58,6.63,> 02:00,1.02,3.46,36.63,10.52,5,Kadang,Cukup,,4.23,2.79,4.37,5.06,3.52,5.53,2.58,5.86,6.17,,Kecemasan,Sedang Menjalani,4.03,tidak tahu,Ada tapi Tidak Efektif,Tidak Baik,hubungan dengan atasan buruk,
14000,Elisa Sihombing,29/01/2022,26-Jun-23,Laki-laki,24.98,S1,Belum Menikah,1,Finance,Backend Developer,5.92,BUMN,> 1000 orang,8-12 juta,Campuran,Pagi,12.61,0.56,5.44,1,Sangat Berat,2,6.17,1.29,22:00-23:00,0.62,3.84,23.89,8.74,2,Tidak,Sedang,5.3,8.81,4.31,8.96,6.08,,6,4.29,1,3.2,tidak ada,Tidak Ada,Tidak,1,Cukup Aman,Ada,tidak tahu,burnout parah,0.71
kry_14895,Ulva Suartini,,2/21/2025,Pria,29.58,S1,menikah,1,Sales,Sales Manager,2.18,Swasta,< 10 orang,20-30 juta,Kadang,Pagi,10.03,4.54,5.67,5,Sangat Ringan,,2,3.77,22:00-23:00,0.37,0.42,34.51,,2,Tidak,,6.07,4.37,2.8,7.33,,32.28,3.04,2.93,9.73,5.95,Pusing,Tidak Ada,Tidak Ada Akses,2.94,Sangat Tidak Aman,Tidak Tahu,Baik,sering sakit kepala,0.78
E27498,Wirda Thamrin,30-01-2025,20-11-2024,Laki-laki,26.75,S1,Menikah,2,sales,Sales Manager,4.74,Corporate,201-500 orang,12-20 juta,WFH & WFO,Fleksibel,4,2.87,4.77,5,,unknown,7.4,2.6,23:00-00:00,0.97,,16.98,6.87,,Tidak,Teratur,3.61,8.77,6.8,9.55,,6.18,9.01,10,3.29,6.5,Sakit Kepala,Kecemasan,Tidak,5.1,,Tidak Ada,Baik,,0.93
EMP23473,R. Manah Laksita,8/26/2025,22-Dec-19,Laki-laki,30.07,S1,menikah,1,finance,Graphic Designer,0.98,Corporate,201-500 orang,5-8jt,Hybrid,Fleksibel,4.59,0.94,4.78,5,Sedang,1,,2.71,jam 12,0.96,-1.02,,7.49,2,Tidak,Jarang Makan,8.16,7.64,,5.47,8.28,9.24,5.09,8.05,6.56,7.98,Tidak Ada,Pernah Depresi,Tidak Ada Akses,,Tidak Aman,Tidak Ada,Baik,N/A,?
EMP23318,"drg. Tami Maryadi, S.Pd",,22-Apr-25,Laki-laki,26.93,s2,belum menikah,0,Ops,Operations Staff,2.7,Startup,> 1000 orang,5-8 juta,Hybrid,Pagi,11.2,3.73,5.89,1,Sedang,0,7.96,,tidak tentu,1.39,0.25,20.33,7.46,2,Tidak,Sering Skip Makan,10,4.81,4.47,6.17,9.99,,9.63,5.36,3.2,2.39,Nyeri Punggung,Tidak Ada,Tidak,5.93,Sangat Aman,Tidak Ada,Baik,merasa tertekan,0.27
10155,Galiono Prakasa,0000-00-00,25-10-2022,L,32.74,S2,Menikah,2,Operations,Senior Software Engineer,0.38,Pemerintah,501-1000,12-20 juta,Ya,Fleksibel,8.91,1.51,5.19,-3,Sangat Ringan,1,6.02,7.04,> 02:00,1.1,0.83,9.61,,1,Ya,Baik,10,6.67,3.4,6.67,4.12,7.03,6.02,5.02,1.01,4.6,tidak ada,Kecemasan,Pernah,2.57,Netral,Tidak Ada,buruk,kadang2 stress,0.54
3408,"R. Jatmiko Sihotang, M.Farm",tidak ingat,27-Mar-21,male,29.88,S2,Married,0,Data,Sales Manager,2.81,BUMN,201-500 orang,20-30 juta,Hybrid,Fleksibel,11.65,8,5.93,1,Berat,6.56,,1.48,tidak tentu,1.45,1.61,,,,Ya,tidak teratur,7.09,6.69,,4.22,3.04,3.2,6.38,9.25,6.14,4.4,Pusing,Tidak Ada,ya,2.15,cukup aman,,buruk,hubungan dengan atasan buruk,0.48
KRY16928,"Fathonah Sitompul, M.Ak",,23-11-2019,Perempuan,29.74,D3,Menikah,1,Information Technology,Technical Support,0.13,Corporate,51-200 orang,8-12 juta,Ya,Siang,12.12,,6.45,8,Normal,2,4.86,7.52,23:00-00:00,0.33,5.27,61.19,7.22,0,Ya,sedang,7.83,6.52,4.98,6.68,4.85,7.63,5.68,1.78,1,8.79,Mata Perih,Depresi,Tidak,3.8,Cukup Aman,Ada,Cukup Baik,  ,0.69
emp-7572,Anonim,4-Jan-20,12/30/2020,Laki-laki,42.53,S2,Cerai,-2,Keuangan,-,1.64,Startup,51-200 orang,5-8jt,Tidak,Flexible,9.81,4.13,,7,Sedang,3,6.27,1,jam 12,0.72,0.33,42.27,8.88,unknown,Ya,Baik,6.4,3.88,3.96,7.68,6.08,3.65,7.98,6.15,6.59,6.36,Insomnia,Pernah Depresi,Belum Pernah,4.29,Sangat Tidak Aman,tidak ada,Baik,takut kehilangan pekerjaan,0.72
kry_5972,Sadina Thamrin,0000-00-00,11/19/2023,perempuan,24,S2,Cerai,0,Operations,Marketing Manager,0.3,startup,10-50 orang,> 30 juta,Iya,Fleksibel,10.6,1.05,5.04,6,ringan,6,,4.47,00:00-01:00,1.41,,-32.28,,2,Tidak,baik,6.94,6.33,3,5.78,,6.29,3.35,2.52,52.43,3.63,Mata Lelah,Anxiety,Pernah,4,Tidak Aman,Ada dan Efektif,Cukup Baik,sering merasa lelah,0.49
KRY27040,Hj. Yani Anggriawan,4-Sep-19,9/24/2025,perempuan,43.66,S2,Belum Menikah,0,Operations,,0.6,,51-200 orang,5-8 juta,T,malam,8.96,2.81,4.96,0,Berat,5,4.15,5.7,> 02:00,1.48,1.17,14.5,9.07,1,Ya,Sehat,7.77,6.61,,4.97,6.89,3.59,4.52,5.91,4.15,1.65,Tidak Ada,Burnout Sebelumnya,Ya,4.71,Sangat Aman,Ada dan Efektif,Baik,susah fokus kerja,0.43
EMP12514,"Jabal Uyainah, S.Ked",,28/07/2025,laki,,D3,Belum Menikah,4.05,IT,Staff,10.3,Swasta,> 1000 orang,,Tidak,Malam,,0.45,26.4,1,Sedang,5,7.74,6.51,,1,,29.55,10.61,1,Iya,tidak teratur,5.99,10,1.37,5.23,7.33,9.55,,3.65,9.51,2.07,Nyeri Punggung,Tidak Ada,Pernah,1,Sangat Aman,Tidak Ada,Cukup Baik,susah fokus kerja,0.76
ID16002,Safina Wibowo,7-Dec-22,24-Dec-25,Pria,21.05,S1,single,,Finance,Business Development,4.36,Corporate,201-500 orang,5jt-8jt,Ya,Siang,13.15,15.95,5.83,2,Normal,6,5.23,5.54,23:00-00:00,0.77,0.26,19.31,7.7,6.65,,Baik,6.54,tidak tahu,1,4.78,4.44,5.65,-6.99,41.73,5.74,3.39,Nyeri Punggung,Tidak Ada,Tidak Tahu Ada,7.02,Sangat Khawatir,Tidak Ada,Cukup Baik,baik-baik saja,0.65
E15028,"drg. Oskar Sitompul, S.E.",2/26/2020,19-Nov-22,Perempuan,25.69,S1,Belum Menikah,2,HR,UI/UX Designer,0.48,Freelance,201-500 orang,3-5 juta,Ya,WFH bebas,10.69,3.55,5.5,4,Sedang,4,,2.62,01:00-02:00,0.36,0.26,12.95,8.44,3,Tidak,,8.74,4.56,3.67,6.59,1.88,4.39,6.96,-5.6,6.19,,Tidak,Tidak,Tidak,4.66,Tidak Aman,Tidak Tahu,Tidak Baik,,0.6
ID22395,H. Baktiono Pranowo,18-Jan-25,20-Nov-25,PEREMPUAN,31.85,S2,Menikah,2,FINANCE,Finance Manager,2.23,Freelance,10-50 orang,5-8 juta,Tergantung,tidak tahu,9.33,1.18,4.68,-7,Sedang,1,,7.05,12 malam,N/A,,78.94,unknown,2,Tidak,Cukup,4.11,9.38,2.16,5.58,,4.71,3.57,5.2,10,4.96,Tidak Ada,Tidak,Pernah,2.43,Cukup Aman,Tidak Ada,Cukup Baik,N/A,0.57
E7912,Panca Jailani,23-09-2021,6-Apr-21,female,25.48,S1,Belum Menikah,0,Data,Data Scientist,2.59,Startup,10-50 orang,3-5 juta,Hybrid,Pagi,8.93,0.89,5.13,4,Sangat Ringan,2,N/A,3.76,01:00-02:00,0.53,0.25,25.74,6.83,1,Ya,teratur,10,4.75,7.78,6.52,3.43,3.01,7.08,7.5,5.23,6.09,Sakit Perut,Tidak Ada,Tidak,-6.89,Aman,Ada dan Efektif,Buruk,,0.79
KRY14029,Melinda Susanti,22-Dec-18,10-Oct-24,Perempuan,29.11,S2,menikah,1,Marketing,,4,Korporat,Oct-50,5-8 juta,Kadang,Pagi,5.69,1.48,5.73,3,sedang,1,6.28,2.73,jam 11,0.96,1.03,49.39,9.75,,Tidak,Buruk,8.24,8.15,4.68,6.85,8.87,4.61,7,5.77,7.39,1,Sakit Kepala,Tidak Ada,Tidak,7.51,,Ada,Baik,,0.49
ID6683,Empluk Laksita,19/07/2024,16-Jan-25,Laki-laki,24.41,S1,Belum Menikah,3,Marketing,,13.2,BUMN,< 10 orang,5-8 juta,Hybrid,08:00-17:00,8.21,1.23,4.91,3,Ringan,,7.9,5.57,23:00-00:00,1.11,2.2,360.41,8.53,4,Kadang,Cukup,4.33,5.74,4.52,5.92,10,2.64,6.02,5.73,4.18,39.91,Tidak Ada,Tidak Ada,ya,2.72,aman,Ya,Parah,n/a,0.61
